interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter
6.46,10.1,216.995,191000.0,190955.58049026248,88020.46130095163,87999.99100913039,79922.89791025128
6.2,10.1,213.153,183000.0,190955.58049026248,85853.82331001676,89586.15665285617,82273.57137819985
6.14,10.1,213.153,187000.0,190955.58049026248,87730.40961187505,89586.15665285617,82743.70607178957
6.04,10.1,213.153,185000.0,190955.58049026248,86792.1164609459,89586.15665285617,80990.1409444928
5.53,10.1,211.398,180000.0,189104.6260055704,85147.44699571424,89454.31177474261,81472.50523541731
5.47,10.1,211.398,185000.0,189104.6260055704,87512.65385670631,89454.31177474261,82354.87893832795
5.19,10.1,211.398,185000.0,189104.6260055704,87512.65385670631,89454.31177474261,80943.0810136709
5.1,10.1,211.933,182700.0,187156.23704525316,86206.48978686662,88309.15291401205,82272.02422088393
5.01,10.1,211.933,176295.0,187156.23704525316,83184.30824836151,88309.15291401205,79921.39495743011
4.96,10.1,211.933,175000.0,187156.23704525316,82573.26607937415,88309.15291401205,79921.39495743011
5.12,10.1,211.933,175000.0,187156.23704525316,82573.26607937415,88309.15291401205,79921.39495743011
5.1,10.1,211.933,178000.0,187156.23704525316,83988.80778359198,88309.15291401205,83212.27592626546
5.25,10.1,212.705,170000.0,185899.9102148364,79922.89791025128,87397.99732720734,80977.55161438725
5.16,10.1,212.705,170000.0,185899.9102148364,79922.89791025128,87397.99732720734,82151.13931894359
5.04,10.1,212.705,175000.0,185899.9102148364,82273.57137819985,87397.99732720734,82151.13931894359
5.07,10.1,212.705,176000.0,185899.9102148364,82743.70607178957,87397.99732720734,85437.18489170133
5.15,10.1,212.495,172100.0,184641.894402142,80990.1409444928,86892.3477738968,83337.21309185716
5.03,10.1,212.495,173125.0,184641.894402142,81472.50523541731,86892.3477738968,83802.7841147167
4.98,10.1,212.495,175000.0,184641.894402142,82354.87893832795,86892.3477738968,86130.63922901438
4.85,10.1,212.495,172000.0,184641.894402142,80943.0810136709,86892.3477738968,86130.63922901438
4.78,10.6,212.709,175000.0,183437.09746366224,82272.02422088393,86238.52186022323,87041.15943108892
4.87,10.6,212.709,170000.0,183437.09746366224,79921.39495743011,86238.52186022323,83827.76189189944
4.82,10.6,212.709,170000.0,183437.09746366224,79921.39495743011,86238.52186022323,85224.89125676443
4.8,10.6,212.709,170000.0,183437.09746366224,79921.39495743011,86238.52186022323,83827.76189189944
4.78,10.6,212.709,177000.0,182488.49252057823,83212.27592626546,85792.55815248919,86156.3108333411
4.84,10.6,213.022,172500.0,182488.49252057823,80977.55161438725,85666.50041806867,83548.00529137367
4.86,10.6,213.022,175000.0,182488.49252057823,82151.13931894359,85666.50041806867,84894.05648773469
4.82,10.6,213.022,175000.0,182488.49252057823,82151.13931894359,85666.50041806867,84012.16087632574
4.91,10.6,213.022,182000.0,182488.49252057823,85437.18489170133,85666.50041806867,84012.16087632574
5.29,10.6,214.79,179000.0,181698.7270946458,83337.21309185716,84593.66222573015,81810.98021411928
5.59,10.6,214.79,180000.0,181698.7270946458,83802.7841147167,84593.66222573015,81302.3195482278
5.38,10.6,214.79,185000.0,181698.7270946458,86130.63922901438,84593.66222573015,81533.95008825124
5.42,10.6,214.79,185000.0,181698.7270946458,86130.63922901438,84593.66222573015,81070.68900820437
5.32,11.1,214.726,186900.0,180896.31725765468,87041.15943108892,84245.18561220098,81289.9232826349
5.2,11.1,214.726,180000.0,180896.31725765468,83827.76189189944,84245.18561220098,79442.4250262114
5.14,11.1,214.726,183000.0,180896.31725765468,85224.89125676443,84245.18561220098,80828.04871852903
5.2,11.1,214.726,180000.0,180896.31725765468,83827.76189189944,84245.18561220098,80781.86126211843
5.25,11.1,214.726,185000.0,179953.65033961038,86156.3108333411,83806.17640137215,80828.04871852903
5.22,11.1,215.445,180000.0,179953.65033961038,83548.00529137367,83526.4918376432,80512.25867037388
5.29,11.1,215.445,182900.0,179953.65033961038,84894.05648773469,83526.4918376432,78256.62649493173
5.12,11.1,215.445,181000.0,179953.65033961038,84012.16087632574,83526.4918376432,80558.29198007678
5.14,11.1,215.445,181000.0,179953.65033961038,84012.16087632574,83526.4918376432,79136.12794287477
5.08,11.1,215.861,176598.0,179158.20989627295,81810.98021411928,82997.0258158134,81666.6436619783
5.07,11.1,215.861,175500.0,179158.20989627295,81302.3195482278,82997.0258158134,82816.87807975266
5.04,11.1,215.861,176000.0,179158.20989627295,81533.95008825124,82997.0258158134,82770.86870304168
5.04,11.1,215.861,175000.0,179158.20989627295,81070.68900820437,82997.0258158134,82080.72805237708
4.94,10.7,216.509,176000.0,178773.05167859682,81289.9232826349,82570.7253179299,80418.22997130877
4.87,10.7,216.509,172000.0,178773.05167859682,79442.4250262114,82570.7253179299,81383.80048554404
4.92,10.7,216.509,175000.0,178773.05167859682,80828.04871852903,82570.7253179299,79314.72081218274
5.0,10.7,216.509,174900.0,178773.05167859682,80781.86126211843,82570.7253179299,81383.80048554404
5.03,10.7,216.509,175000.0,178773.05167859682,80828.04871852903,82570.7253179299,78239.69882318287
4.98,10.7,217.234,174900.0,178764.95706436585,80512.25867037388,82291.42632569757,75018.06416575769
4.91,10.7,217.234,170000.0,178764.95706436585,78256.62649493173,82291.42632569757,78193.67547093396
4.83,10.7,217.234,175000.0,178764.95706436585,80558.29198007678,82291.42632569757,80494.84308338052
4.71,10.7,217.347,172000.0,178389.58446026,79136.12794287477,82075.93592746161,78213.78126825945
4.81,10.7,217.347,177500.0,178389.58446026,81666.6436619783,82075.93592746161,78213.78126825945
4.94,10.7,217.347,180000.0,178389.58446026,82816.87807975266,82075.93592746161,85068.98915588927
5.05,10.7,217.347,179900.0,178389.58446026,82770.86870304168,82075.93592746161,78213.78126825945
5.14,10.7,217.347,178400.0,177994.62802979865,82080.72805237708,81894.21893552644,80495.66933298988
5.09,10.6,217.488,174900.0,177994.62802979865,80418.22997130877,81841.12596087999,78149.7955409999
5.06,10.6,217.488,177000.0,177994.62802979865,81383.80048554404,81841.12596087999,78195.79306633303
4.99,10.6,217.488,172500.0,177994.62802979865,79314.72081218274,81841.12596087999,77275.8425596703
4.98,10.6,217.488,177000.0,177994.62802979865,81383.80048554404,81841.12596087999,78425.78069299871
5.01,10.6,217.281,170000.0,177890.3320220556,78239.69882318287,81871.09412330374,80491.50904321414
4.97,10.6,217.281,163000.0,177890.3320220556,75018.06416575769,81871.09412330374,78696.67264945465
